Id,Time[ns],0:SPI: MISO data
290,27656043450.00,255
291,27656051450.00,159
292,27656059450.00,126
293,27656067450.00,92
294,27656075450.00,0
295,27656083450.00,126
296,27656091450.00,0
297,27656099450.00,91
298,27656107450.00,255
299,27656115450.00,160
300,27656123450.00,1
301,27656131450.00,20
302,27656139450.00,1
303,27656147450.00,72
304,27656155450.00,0
305,27656163450.00,235
306,27656171450.00,255
307,27656179450.00,181
308,27656187450.00,255
309,27656195450.00,140
310,27656203450.00,0
311,27656211450.00,28
312,27656219450.00,1
313,27656227450.00,5
314,27656235450.00,255
315,27656243450.00,116
316,27656251450.00,0
317,27656259450.00,92
318,27656267450.00,0
319,27656275450.00,53
320,27656283450.00,254
321,27656291450.00,212
322,27656299450.00,0
323,27656307450.00,4
324,27656315450.00,0
325,27656323450.00,31
326,27656331450.00,254
327,27656339450.00,244
328,27656347450.00,1
329,27656355450.00,222
330,27656363450.00,255
331,27656371450.00,83
332,27656379450.00,254
333,27656387450.00,121
334,27656395450.00,1
335,27656403450.00,31
336,27656411450.00,254
337,27656419450.00,123
338,27656427450.00,255
339,27656435450.00,200
340,27656443450.00,0
341,27656451450.00,208
342,27656459450.00,0
343,27656467450.00,3
344,27656475450.00,255
345,27656483450.00,237
346,27656491450.00,254
347,27656499450.00,66
348,27656507450.00,0
349,27656515450.00,180
350,27656523450.00,0
351,27656531450.00,4
352,27656539450.00,0
353,27656547450.00,51
354,27656555450.00,254
355,27656563450.00,129
356,27656571450.00,254
357,27656579450.00,226
358,27656587450.00,0
359,27656595450.00,231
360,27656603450.00,1
361,27656611450.00,55
362,27656619450.00,255
363,27656627450.00,92
364,27656635450.00,255
365,27656643450.00,116
366,27656651450.00,0
367,27656659450.00,236
368,27656667450.00,0
369,27656675450.00,38
370,27656683450.00,254
371,27656691450.00,88
372,27656699450.00,0
373,27656707450.00,195
374,27656715450.00,0
375,27656723450.00,173
376,27656731450.00,255
377,27656739450.00,105
378,27656747450.00,254
379,27656755450.00,137
380,27656763450.00,1
381,27656771450.00,156
382,27656779450.00,0
383,27656787450.00,54
384,27656795450.00,254
385,27656803450.00,9
386,27656811450.00,255
387,27656819450.00,96
388,27656827450.00,1
389,27656835450.00,140
390,27656843450.00,0
391,27656851450.00,187
392,27656859450.00,254
393,27656867450.00,68
394,27656875450.00,1
395,27656883450.00,253
396,27656891450.00,0
397,27656899450.00,153
398,27656907450.00,254
399,27656915450.00,73
400,27656923450.00,255
401,27656931450.00,150
402,27656939450.00,1
403,27656947450.00,181
404,27656955450.00,254
405,27656963450.00,14
406,27656971450.00,1
407,27656979450.00,154
408,27656987450.00,1
409,27656995450.00,253
410,27657003450.00,126
411,27657011450.00,243
412,27657019450.00,254
413,27657027450.00,228
414,27657035450.00,129
415,27657043450.00,106
416,27657051450.00,1
417,27657059450.00,37
418,27657067450.00,254
419,27657075450.00,17
420,27657083450.00,254
421,27657091450.00,0
422,27657099450.00,0
423,27657107450.00,233
424,27657115450.00,1
425,27657123450.00,248
426,27657131450.00,1
427,27657139450.00,55
428,27657147450.00,254
429,27657155450.00,194
430,27657163450.00,255
431,27657171450.00,189
432,27657179450.00,255
433,27657187450.00,183
434,27657195450.00,0
435,27657203450.00,87
436,27657211450.00,254
437,27657219450.00,89
438,27657227450.00,254
439,27657235450.00,130
440,27657243450.00,0
441,27657251450.00,179
442,27657259450.00,255
443,27657267450.00,150
444,27657275450.00,254
445,27657283450.00,251
446,27657291450.00,1
447,27657299450.00,83
448,27657307450.00,1
449,27657315450.00,239
450,27657323450.00,126
451,27657331450.00,226
452,27657339450.00,254
453,27657347450.00,237
454,27657355450.00,0
455,27657363450.00,203
456,27657371450.00,1
457,27657379450.00,188
458,27657387450.00,254
459,27657395450.00,2
460,27657403450.00,254
461,27657411450.00,250
462,27657419450.00,1
463,27657427450.00,210
464,27657435450.00,0
465,27657443450.00,80
466,27657451450.00,0
467,27657459450.00,114
468,27657467450.00,1
469,27657475450.00,24
470,27657483450.00,1
